pcode,Parameter code,schedule,Parameter,Abbreviation,EPApriority16,Macdonald_SQG,VM_sourceprofiles,TEC,PEC,Ingersoll_09_included,Coc.pah.fcv,Coc.pah.max,epa.emap,parentAlkyl,molwt_highlow,molwt,benzeneRings,sourceProfile12,creosoteProfile11
p64118,64118,5507,"indeno[1,2,3-cd]pyrene",IndPy,TRUE,,TRUE,,,,1115,,1,,HMW,276.3,5,x,
p63220,63220,5507,naphthalene,Naph,TRUE,TRUE,,176,561,1,385,61700,1,parent,LMW,128.2,2,,x
p90755,90755,5507,nitrobenzene-d5 (surrogate),,,,,,,,,,,,,,,,
p64119,64119,5507,pentachloroanisole,,,,,,,,,,,,HMW,280.4,,,
p63650,63650,5507,pentachloronitrobenzene,,,,,,,,,,,,HMW,295.3,,,
p64120,64120,5507,perylene,,,,,,,,967,431,1,,HMW,252.3,5,,
p63224,63224,5507,phenanthrene,Phen,TRUE,TRUE,TRUE,204,1170,1,596,34300,1,parent,LMW,178.2,3,x,x
p64121,64121,5507,phenanthridine,,,,,,,,,,,,LMW,179.2,,,
p63227,63227,5507,pyrene,Pyr,TRUE,TRUE,TRUE,195,1520,1,697,9090,1,parent,HMW,202.1,4,x,x
p91107,91107,5507,sample weight,,,,,,,,,,,,,,,,
p90756,90756,5507,terphenyl-d14 (surrogate),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
p34208,34208,SLOH,acenaphthene,Ace,TRUE,,,,,1,491,33400,1,,LMW,154.2,2,,
p34203,34203,SLOH,acenaphthylene,Acen,TRUE,,,,,1,452,24000,1,,LMW,152.2,2,,x
p34223,34223,SLOH,anthracene,Anth,TRUE,TRUE,TRUE,57.2,845,1,594,1300,1,,LMW,178.2,3,x,x
p34529,34529,SLOH,benz[a]anthracene,BaA,TRUE,TRUE,TRUE,108,1050,1,841,4153,1,,HMW,228.3,4,x,x
p34250,34250,SLOH,benzo[a]pyrene,BaP,TRUE,TRUE,TRUE,150,1450,1,965,3840,1,,HMW,252.3,5,x,x
p62555,62555,SLOH,benzo[e]pyrene,BeP,,,TRUE,,,,967,4300,1,,HMW,252.3,5,x,
p34524,34524,SLOH,"benzo[g,h,i]perylene",BghiP,TRUE,,TRUE,,,,1095,648,1,,HMW,276.4,6,x,
p34245,34245,SLOH,benzo[k]fluoranthene,BkF,TRUE,,TRUE,,,,981,1220,1,,HMW,252.3,,x,
p34323,34323,SLOH,chrysene,Ch,TRUE,TRUE,TRUE,166,1290,1,844,826,1,,HMW,228.3,4,x,x
p34559,34559,SLOH,"dibenz[a,h]anthracene",,TRUE,TRUE,,33,,1,1123,2389,1,,HMW,278.3,5,,
p34379,34379,SLOH,fluoranthene,FluA,TRUE,TRUE,TRUE,423,2230,1,707,23870,1,,HMW,202.3,3,x,x
p34384,34384,SLOH,fluorene,Flu,TRUE,TRUE,,77.4,536,1,538,26000,1,parent,LMW,166.2,2,,x
p34406,34406,SLOH,"indeno[1,2,3-cd]pyrene",IndPy,,,,,,,,,,,HMW,276.3,5,x,
p34445,34445,SLOH,naphthalene,Naph,TRUE,TRUE,,176,561,1,385,61700,1,,LMW,128.2,2,,x
p00687,687,SLOH,organic_carbon,,,,,,,,,,,,,,,,
p34464,34464,SLOH,phenanthrene,Phe,TRUE,TRUE,TRUE,204,1170,1,596,34300,1,,LMW,178.2,3,x,x
p34472,34472,SLOH,pyrene,Pyr,TRUE,TRUE,TRUE,195,1520,1,697,9090,1,,HMW,202.1,4,x,x
